@relation homes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute postal-code {84003,84004,84005,84013,84020,84042,84043,84045,84049,84057,84058,84062,84074,84078,84097,84601,84604,84606,84629,84633,84651,84653,84655,84660,84663,84664}
@attribute bedrooms {1,2,3,4,5,6,7,8}
@attribute bathrooms {1,2,3,4,5,6,8}
@attribute square-feet numeric
@attribute lot-size numeric
@attribute cars {0,1,2,3,4,5,6,7,8,10,12}
@attribute type {'Condo/Townhome/Row Home/Co-Op','Mfd/Mobile Home','Multi-Family Home','Single Family Home'}
@attribute cost numeric

@data
84005,5,3,0.24015,0.001256,2,'Single Family Home',289900
84057,6,3,0.340576,0.003035,2,'Single Family Home',512900
84043,2,1,0.023807,0.001674,1,'Single Family Home',179000
84045,3,2,0.073708,?,0,'Condo/Townhome/Row Home/Co-Op',180000
84653,3,2,0.423017,0.003453,3,'Single Family Home',499900
84057,5,3,0.274249,0.000419,2,'Condo/Townhome/Row Home/Co-Op',375900
84057,5,3,0.274249,0.000419,2,'Condo/Townhome/Row Home/Co-Op',375900
84057,5,4,0.324774,0.000628,3,'Condo/Townhome/Row Home/Co-Op',393900
84057,5,4,0.324774,0.000628,3,'Condo/Townhome/Row Home/Co-Op',393900
84043,4,3,0.240566,?,3,'Single Family Home',458990
84057,5,4,0.324774,0.000628,3,'Condo/Townhome/Row Home/Co-Op',401620
84057,5,4,0.324774,0.000628,3,'Condo/Townhome/Row Home/Co-Op',403940
84653,4,2,0.25564,0.002407,3,'Single Family Home',369900
84057,3,2,0.091382,?,0,'Mfd/Mobile Home',50000
84057,5,3,0.291714,0.002407,3,'Single Family Home',483900
84058,3,2,0.116436,?,2,'Condo/Townhome/Row Home/Co-Op',266900
84004,4,3,0.608067,0.009627,4,'Single Family Home',885990
84664,4,2,0.387982,?,2,'Single Family Home',419990
84045,3,2,0.260942,0.001674,3,'Single Family Home',369900
84005,5,2,0.192432,0.00157,2,'Single Family Home',238000
84655,5,2,0.316769,0.002302,2,'Single Family Home',339900
84045,4,2,0.266036,0.002512,2,'Single Family Home',318000
84020,4,3,0.579582,0.00743,3,'Single Family Home',895000
84043,6,4,0.478948,0.003035,3,'Single Family Home',732500
84058,5,4,0.412205,0.002093,3,'Single Family Home',439900
84660,5,3,0.226219,0.001988,2,'Single Family Home',290000
84660,4,2,0.181412,0.006383,3,'Single Family Home',420000
